"","groupid","count","true_ate","ate_s","ate_t","ate_x","ate_cf"
"1",1,40,0.394268754869699,0.0904826173229398,0.255902152586089,0.304795459707491,2.25142271778782
"2",2,38,0.174332167673857,0.067965193442369,0.20748461168051,0.280366873198994,2.09519918448691
"3",3,36,-0.146383808460087,0.0857079719359862,0.251456819675978,0.13791303262975,1.33278388350705
"4",4,37,0.128398997317452,0.062148120483431,0.176919968227976,0.219591967403309,1.31022239275691
"5",5,37,0.112610832837067,0.0666949745118358,0.172103081271556,0.161657458078266,0.938788549388152
"6",6,20,0.823048966750503,0.0915141548660751,0.254176069242437,0.288162589397889,1.06597408454751
"7",7,35,0.481820267478102,0.0899843946216654,0.277568785049416,0.293252108223386,2.51158653557161
"8",8,35,0.1431056951337,0.0759905893289364,0.264941622625637,0.30129579245882,1.58276822099503
"9",9,38,0.419506877722022,0.0813882696554064,0.242658729717253,0.226774253572373,2.08213674488501
"10",10,18,-0.326169797529777,0.0659256592966449,0.240614144638044,0.2842480618661,3.1870005645131
"11",12,37,0.475192965957446,0.0810661595996556,0.213033808036936,0.202920381728996,1.45745226301153
"12",13,19,0.0385171580128377,0.102595350697697,0.289805505036446,0.388091685222603,3.45650360029082
"13",14,38,0.535732518097288,0.0957028962323133,0.275783059421641,0.234064360785859,1.86932854423923
"14",16,19,-0.18381392681285,0.0214921791434578,0.0716431123329228,0.288129618560029,2.04942568684402
"15",17,34,0.341576684375896,0.0574128023675468,0.171615518498556,0.11208441139908,0.809301706275513
"16",18,40,-0.157877730578184,0.0331201647683875,0.111603744755298,0.0869574765108158,0.452005951906912
"17",19,38,0.198907010039936,0.0457961360698854,0.114653895619013,0.160741954100765,1.69635446329188
"18",20,38,-0.194044478827466,0.040400127543719,0.128531352197705,0.137989410285117,0.661192523801979
"19",21,36,0.21508464548323,0.0445414866020293,0.122119846183634,0.113322066766521,1.28441774466692
"20",22,35,-0.012718454881395,0.0995848754112602,0.289375533663046,0.345560660988669,1.98129091771719
"21",23,40,-0.59879863364622,0.0330579861939698,0.127539425387158,0.26055548719059,1.68496879187735
"22",24,39,0.472360330584802,0.120604001449041,0.30219156324449,0.306138166885184,2.95019484762205
"23",25,40,0.0383733105612924,0.0619477160592761,0.184305365351992,0.181371140849052,2.22429614874358
"24",26,29,0.270563852021263,0.075351637161525,0.253618872898117,0.244994852329749,1.61167385128033
"25",27,39,0.037315830490307,0.0492979047526744,0.167951558624073,0.148530550039684,1.05076852470545
"26",28,42,-0.61712482240465,0.0439959845115384,0.11676999843544,0.183551295599121,1.12086119536549
"27",29,36,-0.423256941657099,0.0250435483020892,0.0889364891552819,0.155680673682395,0.660702574954567
"28",30,34,-0.578717855829746,0.0510248324598078,0.172478309482221,0.233129283625848,1.46394527809823
"29",31,40,0.100518688559533,0.0791906915941945,0.270438903798403,0.323768645793661,2.06465935132789
"30",32,38,-0.00539411967130055,0.0954517942389394,0.29015300714521,0.242645391544381,1.68562749127443
"31",33,37,-0.0355368218891439,0.0682018545479524,0.19861112532378,0.193491252909155,1.26066872933208
"32",34,39,0.866813950370813,0.0853214046097219,0.20822589336831,0.0907587029151834,2.20812785367522
"33",36,36,-0.45241531773525,0.0698644820382917,0.191391350818989,0.201256764650056,0.824000925625371
"34",37,38,0.274359428799814,0.0509061070842843,0.167781696348187,0.181038550798287,1.32776936554911
"35",38,35,0.561621639950602,0.0668246553959949,0.199393839274371,0.170454151298462,1.36166045000422
"36",39,38,0.676345536154177,0.0943667061054793,0.27620122858233,0.225648962532064,1.68107601680623
"37",40,36,-0.198994411695489,0.0646438098890746,0.200241798250018,0.192043410995412,2.60718968235092
